Year,Month,Month_Name,District,Monthly_Share,Diesel_Liters_Monthly,Kerosene_Liters_Monthly,Petrol_Liters_Monthly
2022,3,March,Matale,0.009792431700393258,357468.80225017574,19065.864520665673,
2022,4,April,Matale,0.08055316821626689,2940561.1844675364,156837.01851707164,
2022,5,May,Matale,0.1173529181967341,4283921.337604499,228486.13172904128,
2022,6,June,Matale,0.13995885095189725,5109141.870458628,272499.88280334393,
2022,7,July,Matale,0.12511394119332236,4567234.3776857555,243596.84350339865,
2022,8,August,Matale,0.10938354558949917,3993002.5783264316,212969.7632627549,
2022,9,September,Matale,0.10677917545641585,3897931.088366278,207899.05461364167,
2022,10,October,Matale,0.10547699038987417,3850395.3433862007,205363.700289085,
2022,11,November,Matale,0.10157043519024922,3707788.1084459717,197757.63731541522,
2022,12,December,Matale,0.0989660650571659,3612716.6184858186,192686.928666302,
2022,1,January,Nuwara Eliya,0.0026564575357449797,87765.58481131337,6066.286428627236,
2022,2,February,Nuwara Eliya,0.002396020522436648,79161.115712165,5471.5524650363295,
2022,3,March,Nuwara Eliya,0.009792431700393258,323528.0381279787,22361.997031018043,
2022,4,April,Nuwara Eliya,0.08055316821626689,2661362.292366591,183951.21493866708,
2022,5,May,Nuwara Eliya,0.1173529181967341,3877173.7760762554,267987.123994062,
2022,6,June,Nuwara Eliya,0.13995885095189725,4624041.693882333,319610.0320337526,
2022,7,July,Nuwara Eliya,0.12511394119332236,4133586.9552308763,285710.19610907097,
2022,8,August,Nuwara Eliya,0.10938354558949917,3613877.0216423157,249788.2647081803,
2022,9,September,Nuwara Eliya,0.10677917545641585,3527832.3306508316,243840.92507227123,
2022,10,October,Nuwara Eliya,0.10547699038987417,3484809.985155089,240867.25525431664,
2022,11,November,Nuwara Eliya,0.10157043519024922,3355742.948667864,231946.24580045312,
2022,12,December,Nuwara Eliya,0.0989660650571659,3269698.25767638,225998.90616454405,
2022,1,January,Kegalle,0.0026564575357449797,,,
2022,2,February,Kegalle,0.002396020522436648,,,
2022,3,March,Kegalle,0.009792431700393258,,,
2022,4,April,Kegalle,0.08055316821626689,,,
2022,5,May,Kegalle,0.1173529181967341,,,
2022,6,June,Kegalle,0.13995885095189725,,,
2022,7,July,Kegalle,0.12511394119332236,,,
2022,8,August,Kegalle,0.10938354558949917,,,
