"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"LKA",19,2006,308.97705035398821365,79836.245892546673209
"LKA",20,2006,477.17652149829891226,279175.010076497243800
"LKA",21,2006,155.50696477654900161,50897.180442245397191
"LKA",22,2006,255.44769493214671322,75542.999698871921512
"LKA",23,2006,473.14599403125345899,278446.673384983987684
"LKA",24,2006,351.19363580431481875,96454.478887433005578
"LKA",25,2006,309.91874433138726396,71882.421319097750296
"LKA",1,2007,274.18534240067642520,105002.1332438085890253
"LKA",2,2007,3047.00180025918176840,790059.932793865479462
"LKA",3,2007,336.90651815360516128,182617.440223325064325
"LKA",4,2007,73.60263712382523744,20336.02854776414772
"LKA",5,2007,155.83245009161737357,87773.322043492465086
"LKA",6,2007,297.02471958361265362,189380.220986053993187
"LKA",7,2007,178.58196873510010706,91380.660852857426426
"LKA",8,2007,233.61190236408045045,97556.930815399346119
"LKA",9,2007,2.42714265151204469,628.815968593246486
"LKA",10,2007,325.46752145066602756,177963.028493458728337
"LKA",11,2007,192.21864653016251739,120202.306118401450706
"LKA",12,2007,307.51830268877065682,179211.49916763402699
"LKA",13,2007,223.84891975519918845,62905.330697015163781
"LKA",14,2007,349.60949423833850000,146380.838201148062697
"LKA",15,2007,137.62913379967497691,35808.1834490324598553
"LKA",16,2007,153.35452404832927063,78184.48142071672391
"LKA",17,2007,177.80251553950544337,107219.85551165873105
"LKA",18,2007,879.25909716752815855,345905.612523038566192
"LKA",19,2007,389.22477308091736992,106653.466109176846977
"LKA",20,2007,362.03525209427413186,201085.973287554049066
"LKA",21,2007,198.16748813124566030,65954.0026534150763775
"LKA",22,2007,510.61450137958767489,153624.500841977396331
"LKA",23,2007,366.85941497540264548,207134.375204833087166
"LKA",24,2007,718.25773108386000461,211278.757186988139592
"LKA",25,2007,350.85431164059373420,88385.938828088034348
"LKA",1,2008,281.14595615246266134,103233.460713465845952
"LKA",2,2008,454.18710938157790452,121104.286074432135537
"LKA",3,2008,262.14939392185129085,147164.046531853989689
"LKA",4,2008,38.72959797535997521,12709.235286887949702
"LKA",5,2008,139.71991615733224462,77005.451205490488028
"LKA",6,2008,203.78277001385021039,125115.579700774266505
"LKA",7,2008,121.63353907012369388,65950.353949786813995
"LKA",8,2008,283.54694685483549897,107541.264689875196851
"LKA",9,2008,7.65976159539551105,2040.624668456259634
"LKA",10,2008,338.31434013126830900,185587.176768129719696
"LKA",11,2008,142.82633756695884085,84348.32067265820357
"LKA",12,2008,391.97176461414947564,227910.000976612180392
"LKA",13,2008,55.05487770045735476,16244.411307512592432
